Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
13/03/2004;00.00.00;2.1;750;266;6.7;383;296;1818;128;1151;228;36.9;47.0;1.187
13/03/2004;01.00.00;4.3;1284;375;13.8;383;320;1643;40;551;349;27.1;37.8;1.129
13/03/2004;02.00.00;0.1;647;337;0.1;383;132;1768;107;849;228;22.0;28.1;0.951
13/03/2004;03.00.00;3.3;901;133;11.6;383;221;1889;100;813;228;19.9;42.8;1.839
13/03/2004;04.00.00;2.3;647;312;8.2;383;177;1877;117;914;239;15.8;64.8;1.899
13/03/2004;05.00.00;1.7;647;362;2.4;383;267;1690;133;1016;436;6.8;39.3;0.284
13/03/2004;06.00.00;2.3;647;363;7.0;383;367;1700;153;1210;471;14.4;28.1;0.81
13/03/2004;07.00.00;0.1;647;311;0.1;383;205;1733;71;551;228;16.8;50.5;1.688
13/03/2004;08.00.00;1.8;647;309;7.2;383;333;1806;136;1041;398;26.9;14.7;1.405
13/03/2004;09.00.00;2.6;808;189;10.0;383;33;1995;78;551;228;20.6;54.1;0.893
13/03/2004;10.00.00;4.2;1173;138;12.3;383;382;1637;69;555;498;18.3;59.4;1.486
13/03/2004;11.00.00;1.4;647;184;4.3;383;176;1812;197;1545;228;12.5;41.2;0.69
13/03/2004;12.00.00;1.0;647;59;0.1;383;173;1824;25;551;228;14.0;62.8;0.717
13/03/2004;13.00.00;1.4;647;345;6.6;383;307;1668;88;706;375;3.8;47.7;1.006
13/03/2004;14.00.00;3.4;967;191;12.4;383;315;1854;123;791;352;19.6;44.4;1.199
13/03/2004;15.00.00;2.6;845;340;10.7;383;228;1909;84;648;228;7.8;31.4;1.179
13/03/2004;16.00.00;1.4;647;101;7.5;383;110;1879;120;977;228;15.0;65.2;1.109
13/03/2004;17.00.00;2.9;739;320;6.7;383;172;1836;48;551;277;26.0;40.9;1.064
13/03/2004;18.00.00;2.3;647;170;9.1;383;260;1701;24;551;394;19.9;44.6;0.931
13/03/2004;19.00.00;3.5;951;95;14.2;383;320;1730;71;669;400;20.4;60.5;0.843
13/03/2004;20.00.00;1.2;647;372;0.7;383;120;1943;120;847;228;27.6;34.6;1.001
13/03/2004;21.00.00;1.7;647;323;5.1;383;148;1976;104;921;314;23.2;36.1;1.133
13/03/2004;22.00.00;1.6;647;238;4.4;383;286;1699;143;1172;307;16.7;49.2;0.681
13/03/2004;23.00.00;0.1;647;221;2.0;383;233;1678;44;551;228;1.8;21.7;0.454
14/03/2004;00.00.00;2.6;736;259;3.4;383;268;1704;85;691;380;14.4;55.4;1.036
14/03/2004;01.00.00;2.5;766;236;11.7;383;2;2042;109;1126;228;17.1;48.4;1.071
14/03/2004;02.00.00;2.2;647;142;6.7;383;200;1835;66;551;228;17.8;20.6;0.861
14/03/2004;03.00.00;1.8;647;178;7.7;383;376;1778;119;963;569;4.9;12.3;0.786
14/03/2004;04.00.00;0.2;647;404;0.4;383;151;1881;99;864;228;19.3;39.6;1.068
14/03/2004;05.00.00;1.6;647;471;6.0;383;320;1872;136;1073;402;23.7;42.1;0.981
14/03/2004;06.00.00;1.7;647;366;0.7;383;61;1824;126;951;228;14.8;70.2;0.974
14/03/2004;07.00.00;1.0;647;263;2.5;383;6;1795;24;551;228;21.4;84.8;1.786
14/03/2004;08.00.00;1.9;647;185;7.9;383;309;1860;183;1354;287;12.4;34.6;0.268
14/03/2004;09.00.00;2.7;752;142;9.3;383;237;1746;8;551;367;19.7;34.5;0.488
14/03/2004;10.00.00;4.8;1362;148;12.1;383;194;1855;38;551;228;32.8;73.3;0.933
14/03/2004;11.00.00;2.4;713;165;7.8;383;375;1710;109;808;375;14.5;55.4;1.284
14/03/2004;12.00.00;2.5;647;422;6.4;383;198;1867;127;912;341;8.6;88.7;0.721
14/03/2004;13.00.00;2.0;687;389;4.7;383;149;1842;99;785;360;23.7;45.4;0.525
14/03/2004;14.00.00;0.1;647;288;0.1;383;132;1817;86;725;228;15.6;65.7;0.93
14/03/2004;15.00.00;2.1;647;126;8.0;383;100;1837;109;956;243;11.5;88.7;0.928
14/03/2004;16.00.00;2.2;647;302;9.4;383;317;1794;138;1044;484;11.8;28.1;0.313
14/03/2004;17.00.00;5.6;1600;195;22.2;588;198;1903;57;551;270;19.7;32.6;1.169
14/03/2004;18.00.00;1.9;652;13;3.1;383;420;1643;59;598;466;18.1;56.1;0.939
14/03/2004;19.00.00;2.6;647;245;9.8;383;2;1950;71;551;228;28.0;48.2;1.204
14/03/2004;20.00.00;2.1;647;138;8.4;383;387;1735;176;1384;449;21.1;51.7;1.179
14/03/2004;21.00.00;0.5;647;141;0.5;383;301;1640;130;1144;398;25.5;36.0;0.18
14/03/2004;22.00.00;3.7;1052;194;10.2;383;232;1970;140;992;228;17.9;48.5;0.986
14/03/2004;23.00.00;3.2;918;170;8.1;383;48;1997;189;1418;228;21.7;42.8;0.956
15/03/2004;00.00.00;3.3;1039;214;9.4;383;2;1985;150;1317;228;17.4;58.2;0.814
15/03/2004;01.00.00;0.9;647;210;3.2;383;360;1777;120;915;443;32.2;64.9;1.112
15/03/2004;02.00.00;4.1;1235;39;15.9;407;283;1824;187;1459;314;21.5;23.4;0.865
15/03/2004;03.00.00;0.2;647;362;2.8;383;280;1794;66;551;295;6.2;70.5;0.718
15/03/2004;04.00.00;3.0;797;124;6.3;383;230;1664;100;776;276;16.3;49.5;0.902
15/03/2004;05.00.00;5.2;1347;127;15.1;428;376;1732;168;1311;389;19.6;65.1;0.67
15/03/2004;06.00.00;0.8;647;186;5.0;383;156;1991;7;551;228;17.7;46.0;1.038
15/03/2004;07.00.00;1.4;647;207;2.9;383;194;1799;74;698;228;24.5;67.5;0.777
15/03/2004;08.00.00;2.3;744;356;7.2;383;218;1901;150;1142;244;13.9;63.9;0.876
15/03/2004;09.00.00;1.4;647;243;1.2;383;213;1897;118;897;316;18.0;56.0;0.404
15/03/2004;10.00.00;0.1;647;271;2.6;383;450;1663;137;1103;524;25.1;49.8;0.546
15/03/2004;11.00.00;2.2;647;244;3.4;383;54;1970;21;551;228;6.7;57.8;1.145
15/03/2004;12.00.00;0.7;647;239;0.1;383;2;2043;72;557;228;10.2;81.8;1.504
15/03/2004;13.00.00;2.8;804;247;11.1;383;23;2014;144;1081;228;33.3;67.8;1.001
15/03/2004;14.00.00;0.9;647;34;6.6;383;350;1870;69;551;282;15.0;60.2;1.668
15/03/2004;15.00.00;4.3;1174;194;13.2;383;230;1892;152;1159;228;24.7;39.6;1.226
15/03/2004;16.00.00;1.1;647;328;3.3;383;2;2054;126;944;228;26.6;38.4;0.9
15/03/2004;17.00.00;1.7;647;592;7.3;383;261;1875;56;551;228;7.6;36.4;1.611
15/03/2004;18.00.00;3.3;824;103;11.1;390;196;1899;129;1042;228;11.1;28.0;0.68
15/03/2004;19.00.00;0.4;647;258;0.6;383;331;1568;148;1170;447;18.1;63.4;1.145
15/03/2004;20.00.00;2.5;749;163;6.9;383;367;1696;130;1156;469;12.6;51.3;1.081
15/03/2004;21.00.00;4.0;1119;412;9.6;383;631;1445;138;1127;842;21.2;55.0;0.18
15/03/2004;22.00.00;0.1;647;89;0.8;383;65;1974;30;551;228;22.2;21.5;0.889
15/03/2004;23.00.00;2.4;652;277;7.5;383;2;1953;221;1756;228;19.6;36.1;1.695
16/03/2004;00.00.00;2.5;809;84;7.2;383;336;1778;248;1916;357;17.6;46.9;0.806
16/03/2004;01.00.00;3.2;922;187;8.4;383;396;1648;181;1502;619;22.6;28.9;0.793
16/03/2004;02.00.00;0.4;647;214;0.1;383;50;2095;118;858;228;27.5;29.2;1.215
16/03/2004;03.00.00;0.3;647;319;2.2;383;50;2091;93;841;228;28.4;32.7;0.18
16/03/2004;04.00.00;2.9;885;115;11.0;383;298;1645;94;696;588;20.2;57.6;1.312
16/03/2004;05.00.00;2.6;708;281;7.6;383;508;1619;150;1264;643;11.0;9.2;0.84
16/03/2004;06.00.00;2.5;758;219;7.1;383;111;1873;164;1344;276;16.6;46.1;0.579
16/03/2004;07.00.00;2.6;705;243;6.7;383;259;1812;81;576;284;23.4;74.8;1.361
16/03/2004;08.00.00;1.2;647;309;5.7;383;2;2045;111;992;228;26.8;67.1;1.172
16/03/2004;09.00.00;2.5;647;96;8.0;383;215;1725;173;1540;253;26.5;68.1;1.595
16/03/2004;10.00.00;2.6;647;295;8.9;383;228;1739;108;804;319;16.6;43.1;1.15
16/03/2004;11.00.00;1.1;647;163;4.4;383;470;1555;118;894;605;19.8;82.1;1.063
16/03/2004;12.00.00;4.8;1313;322;14.6;419;137;1845;179;1438;228;22.2;39.3;1.093
16/03/2004;13.00.00;2.8;804;249;6.7;383;351;1677;171;1440;302;29.7;56.7;0.944
16/03/2004;14.00.00;0.5;647;198;0.1;383;127;1961;151;1311;228;12.0;58.0;0.617
16/03/2004;15.00.00;3.1;1007;161;12.1;383;259;1809;61;551;404;21.7;30.4;1.268
16/03/2004;16.00.00;0.8;647;296;1.1;383;563;1479;62;551;691;13.9;15.6;0.95
16/03/2004;17.00.00;3.3;894;337;9.6;383;520;1558;77;593;702;27.3;64.0;1.346
16/03/2004;18.00.00;3.8;1023;167;9.8;383;545;1373;87;670;615;17.7;33.3;0.732
16/03/2004;19.00.00;1.0;647;110;0.8;383;306;1916;123;944;340;19.9;47.4;0.663
16/03/2004;20.00.00;3.5;1138;283;9.7;383;213;1830;108;759;228;11.3;55.8;1.04
16/03/2004;21.00.00;2.7;840;80;12.1;383;289;1847;105;911;228;14.6;48.6;1.021
16/03/2004;22.00.00;3.3;1097;93;11.9;383;317;1809;100;813;353;33.9;60.5;1.084
16/03/2004;23.00.00;4.8;1271;117;14.3;383;305;1752;70;689;341;22.9;56.9;0.947
17/03/2004;00.00.00;1.8;647;178;7.9;383;137;1699;90;792;228;19.5;58.2;1.456
17/03/2004;01.00.00;1.1;647;91;3.2;383;131;1850;229;1806;228;29.0;55.3;0.286
17/03/2004;02.00.00;0.9;647;33;5.6;383;154;1904;146;1081;294;30.1;24.3;0.775
17/03/2004;03.00.00;1.0;647;110;7.6;383;409;1677;113;1061;445;17.7;49.5;1.036
17/03/2004;04.00.00;2.0;647;279;8.6;383;426;1742;40;551;578;11.9;57.2;1.036
17/03/2004;05.00.00;2.6;800;97;8.6;383;733;1413;65;551;903;16.8;88.0;0.894
17/03/2004;06.00.00;2.5;809;185;9.5;383;311;1898;110;861;375;15.1;55.9;0.612
17/03/2004;07.00.00;3.3;804;402;10.6;383;125;1814;178;1374;228;18.8;46.0;0.18
17/03/2004;08.00.00;2.2;647;213;3.3;383;172;1903;123;923;228;20.2;60.4;1.318
17/03/2004;09.00.00;4.2;1237;250;12.1;383;221;1740;123;889;228;38.2;37.5;1.068
17/03/2004;10.00.00;1.8;647;128;3.8;383;476;1691;166;1272;542;9.7;73.1;1.365
17/03/2004;11.00.00;6.0;1604;423;17.7;432;358;1653;66;551;446;7.5;47.6;0.194
17/03/2004;12.00.00;3.0;928;166;13.3;383;39;1827;180;1468;228;13.3;45.0;0.604
17/03/2004;13.00.00;0.9;647;196;5.3;383;237;1691;94;714;271;-1.9;24.5;0.922
17/03/2004;14.00.00;0.7;647;343;3.0;383;20;1945;168;1306;228;2.9;41.1;0.394
17/03/2004;15.00.00;2.8;817;200;10.7;383;336;1855;193;1461;402;7.4;47.6;0.851
17/03/2004;16.00.00;1.8;647;222;2.1;383;137;1949;69;569;228;27.1;78.4;1.352
17/03/2004;17.00.00;3.1;944;191;11.5;383;152;1913;113;907;228;7.2;42.2;0.669
17/03/2004;18.00.00;2.8;741;191;10.9;383;2;1993;150;1237;228;4.4;47.7;1.494
17/03/2004;19.00.00;2.0;686;253;2.1;383;361;1620;99;750;304;11.2;60.8;0.678
17/03/2004;20.00.00;1.0;647;270;4.6;383;430;1580;100;731;633;21.2;34.9;1.309
17/03/2004;21.00.00;0.1;647;156;0.1;383;139;1843;93;749;377;13.9;40.8;0.676
17/03/2004;22.00.00;1.5;647;145;0.9;383;221;1771;23;551;387;15.3;71.0;1.545
17/03/2004;23.00.00;3.3;887;160;13.4;383;172;1809;163;1239;228;13.4;23.3;1.138
18/03/2004;00.00.00;2.4;647;84;5.8;383;212;1753;64;551;228;7.4;37.3;1.177
18/03/2004;01.00.00;0.4;647;66;0.1;383;120;1904;3;551;265;10.6;55.2;0.61
18/03/2004;02.00.00;2.4;675;246;9.6;383;77;1877;163;1212;228;11.5;55.7;0.729
18/03/2004;03.00.00;2.7;797;307;8.0;383;455;1726;136;1046;620;23.1;88.7;1.164
18/03/2004;04.00.00;0.9;647;300;2.6;383;2;2088;49;551;228;9.0;51.8;1.235
18/03/2004;05.00.00;2.4;647;7;7.2;383;323;1789;165;1385;428;26.2;38.9;0.61
18/03/2004;06.00.00;2.2;785;194;7.8;383;289;1807;144;1161;378;23.5;41.8;1.511
18/03/2004;07.00.00;0.5;647;113;1.3;383;499;1476;113;1005;709;5.5;68.2;1.068
18/03/2004;08.00.00;2.7;800;231;8.7;383;209;2015;96;871;317;21.1;37.4;1.208
18/03/2004;09.00.00;2.9;775;178;8.4;383;189;1826;107;858;240;18.4;45.7;1.138
18/03/2004;10.00.00;3.7;999;274;12.4;383;122;1965;122;822;298;28.9;64.6;0.464
18/03/2004;11.00.00;3.6;989;216;12.2;383;300;1826;75;633;338;11.5;43.8;1.614
18/03/2004;12.00.00;0.2;647;37;4.5;383;137;1806;166;1424;287;23.2;59.1;1.59
18/03/2004;13.00.00;0.8;647;126;1.9;383;73;1891;139;1167;228;24.4;23.1;0.876
18/03/2004;14.00.00;2.9;915;218;8.8;383;133;1925;106;880;228;4.0;32.0;1.789
18/03/2004;15.00.00;2.9;841;226;9.7;383;101;1795;196;1553;359;28.5;39.6;1.065
18/03/2004;16.00.00;2.9;812;84;11.1;383;92;1919;98;693;228;12.1;24.6;1.079
18/03/2004;17.00.00;7.5;2033;72;22.0;546;259;1601;187;1548;228;21.8;29.8;0.922
18/03/2004;18.00.00;2.9;867;223;9.6;383;216;1827;127;1000;353;16.2;38.0;0.934
18/03/2004;19.00.00;3.7;1219;84;7.0;383;330;1845;149;1219;469;16.5;85.0;1.77
18/03/2004;20.00.00;3.5;945;59;10.6;383;268;1784;95;716;332;11.6;55.7;1.34
18/03/2004;21.00.00;3.1;827;175;11.9;383;61;1833;23;551;228;13.3;63.0;1.057
18/03/2004;22.00.00;1.7;647;171;4.0;383;2;1954;136;1107;228;21.6;60.5;0.81
18/03/2004;23.00.00;3.2;860;134;10.6;383;84;1981;55;551;257;29.3;10.3;0.815
19/03/2004;00.00.00;1.1;647;151;2.4;383;362;1723;83;577;546;8.3;51.2;0.918
19/03/2004;01.00.00;1.8;647;219;4.1;383;359;1748;116;821;566;13.7;40.1;0.593
19/03/2004;02.00.00;1.5;647;149;6.6;383;396;1668;82;707;350;20.1;22.1;1.087
19/03/2004;03.00.00;2.3;647;224;5.2;383;374;1639;111;845;534;19.7;56.7;1.597
19/03/2004;04.00.00;5.4;1569;181;17.8;461;412;1680;122;944;494;22.0;17.8;1.499
19/03/2004;05.00.00;0.1;647;233;0.9;383;308;1758;42;551;560;27.3;48.7;0.232
19/03/2004;06.00.00;3.1;843;301;8.3;383;521;1664;126;921;647;4.3;43.9;1.045
19/03/2004;07.00.00;0.1;647;297;0.6;383;290;1729;83;642;278;13.4;33.9;0.18
19/03/2004;08.00.00;1.5;647;340;2.9;383;551;1562;61;551;708;26.4;65.4;1.34
19/03/2004;09.00.00;3.7;906;297;12.8;383;150;1868;16;551;228;16.6;45.7;0.976
19/03/2004;10.00.00;2.2;648;240;4.5;383;146;2064;38;551;260;8.8;52.8;1.83
19/03/2004;11.00.00;0.6;647;176;1.4;383;216;1766;114;815;228;7.9;60.5;1.175
19/03/2004;12.00.00;1.1;647;181;3.2;383;240;1777;115;885;274;17.9;62.9;0.623
19/03/2004;13.00.00;3.1;901;134;12.2;383;196;1765;137;1132;256;14.7;50.9;0.442
19/03/2004;14.00.00;1.1;647;218;3.9;383;328;1841;195;1561;369;35.3;33.7;1.026
19/03/2004;15.00.00;2.5;647;284;9.8;383;230;1925;178;1293;406;16.7;47.3;1.116
19/03/2004;16.00.00;2.2;683;149;8.2;383;153;1860;160;1063;228;11.9;61.9;0.831
19/03/2004;17.00.00;1.2;647;214;5.1;383;185;1946;169;1404;263;28.0;38.6;0.921
19/03/2004;18.00.00;5.2;1417;153;15.8;469;432;1680;121;1028;563;17.4;56.9;0.7
19/03/2004;19.00.00;3.0;950;237;11.8;383;294;1820;120;1001;356;24.2;38.0;1.077
19/03/2004;20.00.00;0.1;647;165;0.1;383;2;1918;186;1476;228;33.1;62.9;0.819
19/03/2004;21.00.00;2.4;683;147;4.3;383;477;1631;123;967;390;29.8;47.6;0.784
19/03/2004;22.00.00;1.2;647;153;3.5;383;312;1899;124;986;463;21.0;31.0;0.531
19/03/2004;23.00.00;3.3;858;265;11.6;383;343;1843;168;1398;329;23.8;88.7;1.683
20/03/2004;00.00.00;1.0;647;208;0.1;383;388;1753;99;787;626;28.8;51.4;0.65
20/03/2004;01.00.00;2.0;647;177;4.6;383;396;1759;106;882;425;10.3;9.2;1.29
20/03/2004;02.00.00;2.9;774;242;6.7;383;105;2110;47;551;228;7.6;33.3;0.903
20/03/2004;03.00.00;3.4;765;178;12.3;383;82;1997;90;649;228;34.1;72.2;1.13
20/03/2004;04.00.00;0.5;647;325;4.8;383;612;1456;97;762;861;8.0;63.1;0.979
20/03/2004;05.00.00;1.7;647;125;5.0;383;139;1985;99;730;228;36.1;69.7;0.8
20/03/2004;06.00.00;1.5;647;200;5.8;383;303;1750;151;1183;403;12.4;43.2;0.92
20/03/2004;07.00.00;1.2;647;84;5.0;383;495;1642;64;551;502;10.8;62.5;0.595
20/03/2004;08.00.00;4.6;1416;185;17.9;432;178;1866;184;1405;274;24.3;44.4;1.691
20/03/2004;09.00.00;2.7;647;58;7.4;383;190;1790;14;551;303;5.2;55.0;0.882
20/03/2004;10.00.00;0.4;647;288;0.8;383;387;1714;141;1029;479;38.6;27.1;1.25
20/03/2004;11.00.00;3.4;847;290;10.3;383;278;1854;152;1253;422;33.4;44.4;1.286
20/03/2004;12.00.00;5.1;1473;292;16.5;460;321;1801;146;1116;418;30.3;9.2;1.201
20/03/2004;13.00.00;3.6;1016;220;16.5;383;233;1851;165;1307;377;5.8;47.1;1.203
20/03/2004;14.00.00;0.1;647;134;0.4;383;165;1851;102;826;228;28.4;34.2;0.514
20/03/2004;15.00.00;1.5;647;141;3.0;383;195;1711;173;1457;322;27.5;52.3;0.32
20/03/2004;16.00.00;3.9;948;363;10.2;383;428;1653;79;616;535;19.3;30.1;0.263
20/03/2004;17.00.00;1.2;647;354;6.2;383;200;1883;83;690;405;24.7;47.4;0.597
20/03/2004;18.00.00;2.8;808;229;7.1;383;311;1578;212;1607;347;22.9;88.7;1.188
20/03/2004;19.00.00;3.2;986;169;11.7;383;97;1916;121;959;228;8.3;45.8;2.056
20/03/2004;20.00.00;0.9;647;348;1.4;383;558;1545;158;1191;616;14.5;38.7;1.75
20/03/2004;21.00.00;2.1;660;152;4.1;383;294;1690;136;1083;322;15.6;50.9;1.566
20/03/2004;22.00.00;0.1;647;239;1.5;383;297;1822;147;1191;316;5.9;9.2;0.56
20/03/2004;23.00.00;0.7;647;346;1.0;383;387;1765;16;551;630;24.0;42.3;1.416
21/03/2004;00.00.00;1.8;647;138;6.6;383;172;2007;131;1014;374;27.0;47.9;1.052
21/03/2004;01.00.00;0.4;647;296;2.3;383;428;1654;113;931;504;21.6;52.3;0.452
21/03/2004;02.00.00;4.4;1313;267;15.3;383;14;2092;159;1245;228;33.0;67.0;1.683
21/03/2004;03.00.00;0.1;647;214;0.1;383;151;1812;74;565;228;20.8;55.7;0.78
21/03/2004;04.00.00;1.5;647;123;6.3;383;123;1871;170;1277;228;18.2;29.5;1.711
21/03/2004;05.00.00;2.3;668;149;5.6;383;2;2052;55;551;228;13.6;17.0;1.255
21/03/2004;06.00.00;4.2;1359;245;8.4;383;165;1815;91;727;228;20.2;66.1;0.791
21/03/2004;07.00.00;0.1;647;82;1.9;383;238;1796;37;551;228;-1.9;38.6;0.446
